"Number of Households by Type of Roof","Number"
"Galvanized Iron Plate","4690"
"Mud Roof","23"
"Not Sated Roof","53"
"Other Type of Roof","15"
"RCC Roof","179"
"Thatch/Straw Roof","341"
"Tile/Slate Roof","1271"
"Wood/Planks Roof","12"
"Total","6584"
