"Population by Caste Ethinicity","Number"
"Brahman - Hill",""
"Female","1548"
"Male","1481"
"","3029"
"Brahmu/ Baramo",""
"Female","16"
"Male","18"
"","34"
"Chhetri",""
"Female","489"
"Male","466"
"","955"
"Dalit Others",""
"Female","11"
"Male","13"
"","24"
"Damai/Dholi",""
"Female","27"
"Male","36"
"","63"
"Ghale",""
"Female","88"
"Male","97"
"","185"
"Kami",""
"Female","126"
"Male","121"
"","247"
"Magar",""
"Female","389"
"Male","384"
"","773"
"Newar",""
"Female","9"
"Male","15"
"","24"
"Others",""
"Female","24"
"Male","33"
"","57"
"Tamang",""
"Female","3861"
"Male","3786"
"","7647"
"Terai Others",""
"Female","7"
"Male","4"
"","11"
