"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","120"
"Cow Dung","2"
"Electricity Fuel","0"
"KeroseneFuel","11"
"LP Gas","33"
"Not Sated about Fuel","12"
"OthersFuel","0"
"Wood/FireWood","2436"
"Total","2614"
