"Industries Types","Number"
"Accommodation and food","673"
"Administrative and support service activity","8"
"Agriculture, forestry and fishing","264"
"Art, entertainment and recreation","6"
"Construction","5"
"Education","521"
"Electricty gas and water","6"
"Financial intermediation and insurance","111"
"Health and social work","241"
"Information and communications","9"
"Manufacturing","674"
"Mining and quarrying","0"
"Other service activities","228"
"Professional,scientific and techniqual activity","44"
"Real state, renting and business activities","0"
"Transport and storage","42"
"Water supply, wet management","16"
"Wholesale and retail trade","3250"
"Total","6098"
