"Population by Five Years Age Group","Number"
"0-4",""
"Female","1745"
"Male","2020"
"10-14",""
"Female","3053"
"Male","3026"
"15-19",""
"Female","3093"
"Male","3185"
"20-24",""
"Female","3327"
"Male","3661"
"25-29",""
"Female","2783"
"Male","3085"
"30-34",""
"Female","2489"
"Male","2494"
"35-39",""
"Female","2104"
"Male","2111"
"40-44",""
"Female","1734"
"Male","1724"
"45-49",""
"Female","1450"
"Male","1501"
"50-54",""
"Female","1139"
"Male","1119"
"55-59",""
"Female","927"
"Male","871"
"5-9",""
"Female","2179"
"Male","2340"
"60-64",""
"Female","806"
"Male","737"
"65-69",""
"Female","644"
"Male","593"
"70-74",""
"Female","450"
"Male","435"
"75+",""
"Female","624"
"Male","557"
