"Number of Households by Type of Roof","Number"
"Galvanized Iron Plate","7601"
"Mud Roof","3282"
"Not Sated Roof","437"
"Other Type of Roof","305"
"RCC Roof","778"
"Thatch/Straw Roof","21007"
"Tile/Slate Roof","12890"
"Wood/Planks Roof","224"
"Total","46524"
