"Agricultural land use area","Hectare"
"Area under arable land","20349.00"
"Area under meadows and pasture","2320.00"
"Area under permanent crops","1935.00"
"Area under Temporary crops","19699.00"
"Area under temporary fallow","549.00"
"Area under temporary meadows","101.00"
"Other land","1319.00"
"Ponds","6.00"
"Woodland and forest","755.00"
"Total","47033.00"
