"Population by Mother tongue","Number"
"Bahing",""
"Female","4"
"Male","7"
"Bantawa",""
"Female","1210"
"Male","1084"
"Bhojpuri",""
"Female","67"
"Male","85"
"Bhujel",""
"Female","42"
"Male","46"
"Chamling",""
"Female","258"
"Male","236"
"Doteli",""
"Female","7"
"Male","8"
"Gurung",""
"Female","698"
"Male","613"
"Hindi",""
"Female","19"
"Male","25"
"Khaling",""
"Female","100"
"Male","88"
"Koyee",""
"Female","5"
"Male","6"
"Kulung",""
"Female","9"
"Male","15"
"Limbu",""
"Female","9240"
"Male","8050"
"Magar",""
"Female","805"
"Male","690"
"Maithili",""
"Female","85"
"Male","150"
"Majhi",""
"Female","16"
"Male","15"
"Nachhiring",""
"Female","86"
"Male","88"
"Nepali",""
"Female","9510"
"Male","8499"
"Newar",""
"Female","194"
"Male","177"
"Not Reported",""
"Female","44"
"Male","45"
"Others",""
"Female","40"
"Male","39"
"Rai",""
"Female","1738"
"Male","1565"
"Rajbanshi",""
"Female","17"
"Male","41"
"Sampang",""
"Female","15"
"Male","8"
"Sherpa",""
"Female","133"
"Male","126"
"Sunuwar",""
"Female","451"
"Male","395"
"Tamang",""
"Female","1083"
"Male","913"
"Tharu",""
"Female","9"
"Male","22"
"Thulung",""
"Female","141"
"Male","118"
"Urdu",""
"Female","8"
"Male","13"
