"Population by Single Year of Age","Number"
"0",""
"Female","394"
"Male","426"
"1",""
"Female","387"
"Male","397"
"10",""
"Female","703"
"Male","729"
"11",""
"Female","650"
"Male","568"
"12",""
"Female","742"
"Male","735"
"13",""
"Female","623"
"Male","684"
"14",""
"Female","659"
"Male","690"
"15",""
"Female","637"
"Male","631"
"16",""
"Female","685"
"Male","608"
"17",""
"Female","674"
"Male","649"
"18",""
"Female","723"
"Male","720"
"19",""
"Female","521"
"Male","374"
"2",""
"Female","390"
"Male","361"
"20",""
"Female","660"
"Male","453"
"21",""
"Female","523"
"Male","359"
"22",""
"Female","667"
"Male","449"
"23",""
"Female","515"
"Male","368"
"24",""
"Female","472"
"Male","374"
"25",""
"Female","588"
"Male","472"
"26",""
"Female","458"
"Male","423"
"27",""
"Female","464"
"Male","366"
"28",""
"Female","432"
"Male","408"
"29",""
"Female","292"
"Male","232"
"3",""
"Female","423"
"Male","483"
"30",""
"Female","574"
"Male","378"
"31",""
"Female","286"
"Male","218"
"32",""
"Female","332"
"Male","241"
"33",""
"Female","246"
"Male","230"
"34",""
"Female","253"
"Male","231"
"35",""
"Female","457"
"Male","318"
"36",""
"Female","300"
"Male","235"
"37",""
"Female","259"
"Male","223"
"38",""
"Female","284"
"Male","259"
"39",""
"Female","213"
"Male","178"
"4",""
"Female","498"
"Male","520"
"40",""
"Female","439"
"Male","357"
"41",""
"Female","189"
"Male","181"
"42",""
"Female","288"
"Male","254"
"43",""
"Female","225"
"Male","212"
"44",""
"Female","176"
"Male","152"
"45",""
"Female","317"
"Male","288"
"46",""
"Female","225"
"Male","212"
"47",""
"Female","191"
"Male","156"
"48",""
"Female","260"
"Male","268"
"49",""
"Female","192"
"Male","190"
"5",""
"Female","561"
"Male","583"
"50",""
"Female","325"
"Male","295"
"51",""
"Female","210"
"Male","219"
"52",""
"Female","217"
"Male","218"
"53",""
"Female","150"
"Male","153"
"54",""
"Female","152"
"Male","160"
"55",""
"Female","204"
"Male","192"
"56",""
"Female","162"
"Male","178"
"57",""
"Female","142"
"Male","165"
"58",""
"Female","133"
"Male","166"
"59",""
"Female","149"
"Male","121"
"6",""
"Female","550"
"Male","556"
"60",""
"Female","208"
"Male","195"
"61",""
"Female","106"
"Male","132"
"62",""
"Female","143"
"Male","112"
"63",""
"Female","97"
"Male","118"
"64",""
"Female","94"
"Male","92"
"65",""
"Female","140"
"Male","155"
"66",""
"Female","69"
"Male","80"
"67",""
"Female","96"
"Male","86"
"68",""
"Female","93"
"Male","108"
"69",""
"Female","59"
"Male","64"
"7",""
"Female","616"
"Male","657"
"70",""
"Female","115"
"Male","124"
"71",""
"Female","40"
"Male","64"
"72",""
"Female","50"
"Male","68"
"73",""
"Female","53"
"Male","55"
"74",""
"Female","32"
"Male","34"
"75",""
"Female","61"
"Male","68"
"76",""
"Female","44"
"Male","47"
"77",""
"Female","48"
"Male","48"
"78",""
"Female","58"
"Male","45"
"79",""
"Female","30"
"Male","34"
"8",""
"Female","620"
"Male","624"
"80",""
"Female","38"
"Male","35"
"81",""
"Female","17"
"Male","26"
"82",""
"Female","18"
"Male","25"
"83",""
"Female","19"
"Male","21"
"84",""
"Female","19"
"Male","22"
"85",""
"Female","71"
"Male","76"
"9",""
"Female","589"
"Male","599"
