"Industries Employment","Number"
"Accommodation,  food",""
"Female","622"
"Male","537"
"Administrative, support service",""
"Female","3"
"Male","12"
"Agriculture, forestry and  fishing",""
"Female","7"
"Male","17"
"Arts, entertainment, recreation",""
"Female","1"
"Male","3"
"Construction",""
"Female","93"
"Male","417"
"Education",""
"Female","193"
"Male","277"
"Electricity, gas and water",""
"Female","0"
"Male","0"
"Financial intermediation and insurance",""
"Female","30"
"Male","74"
"Health, social work",""
"Female","70"
"Male","46"
"Information and communication",""
"Female","0"
"Male","6"
"Manufacturing",""
"Female","50"
"Male","107"
"Other service activities",""
"Female","52"
"Male","56"
"Professional, scientific, techniqual activity",""
"Female","0"
"Male","0"
"Real estate, renting and business activity",""
"Female","0"
"Male","0"
"Transportation,  storage",""
"Female","18"
"Male","18"
"Water supply, wet management",""
"Female","0"
"Male","0"
"Wholesale, retail trade",""
"Female","190"
"Male","207"
