"Industries Types","Number"
"Accommodation and food","934"
"Administrative and support service activity","9"
"Agriculture, forestry and fishing","283"
"Art, entertainment and recreation","42"
"Construction","5"
"Education","409"
"Electricty gas and water","34"
"Financial intermediation and insurance","208"
"Health and social work","411"
"Information and communications","24"
"Manufacturing","718"
"Mining and quarrying","3"
"Other service activities","387"
"Professional,scientific and techniqual activity","54"
"Real state, renting and business activities","1"
"Transport and storage","45"
"Water supply, wet management","34"
"Wholesale and retail trade","2810"
"Total","6411"
