"Industries Employment","Number"
"Accommodation,  food",""
"Female","1163"
"Male","969"
"Administrative, support service",""
"Female","3"
"Male","11"
"Agriculture, forestry and  fishing",""
"Female","270"
"Male","532"
"Arts, entertainment, recreation",""
"Female","34"
"Male","81"
"Construction",""
"Female","0"
"Male","15"
"Education",""
"Female","2005"
"Male","2341"
"Electricity, gas and water",""
"Female","42"
"Male","372"
"Financial intermediation and insurance",""
"Female","6094"
"Male","5742"
"Health, social work",""
"Female","808"
"Male","378"
"Information and communication",""
"Female","57"
"Male","87"
"Manufacturing",""
"Female","489"
"Male","1345"
"Other service activities",""
"Female","299"
"Male","479"
"Professional, scientific, techniqual activity",""
"Female","28"
"Male","76"
"Real estate, renting and business activity",""
"Female","1"
"Male","1"
"Transportation,  storage",""
"Female","39"
"Male","114"
"Water supply, wet management",""
"Female","19"
"Male","134"
"Wholesale, retail trade",""
"Female","2690"
"Male","2648"
