"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","909"
"Male","751"
"Chhetri",""
"Female","5596"
"Male","5035"
"Dalit Others",""
"Female","35"
"Male","34"
"Damai/Dholi",""
"Female","258"
"Male","212"
"Kami",""
"Female","432"
"Male","389"
"Magar",""
"Female","28"
"Male","21"
"Others",""
"Female","16"
"Male","11"
"Sanyasi/Dasnami",""
"Female","438"
"Male","382"
"Sarki",""
"Female","576"
"Male","547"
"Terai Others",""
"Female","5"
"Male","10"
"Thakuri",""
"Female","324"
"Male","287"
