"Agricultural land use area","Hectare"
"Area under arable land","59656.00"
"Area under meadows and pasture","73.00"
"Area under permanent crops","1936.00"
"Area under Temporary crops","58862.00"
"Area under temporary fallow","244.00"
"Area under temporary meadows","550.00"
"Other land","2052.00"
"Ponds","120.00"
"Woodland and forest","998.00"
"Total","124491.00"
