"Population by Caste Ethinicity","Number"
"Badi",""
"Female","79"
"Male","55"
"","134"
"Brahman - Hill",""
"Female","807"
"Male","674"
"","1481"
"Chhetri",""
"Female","5012"
"Male","4171"
"","9183"
"Dalit Others",""
"Female","435"
"Male","412"
"","847"
"Damai/Dholi",""
"Female","81"
"Male","64"
"","145"
"Kami",""
"Female","361"
"Male","308"
"","669"
"Magar",""
"Female","20"
"Male","14"
"","34"
"Others",""
"Female","4"
"Male","3"
"","7"
"Rajput",""
"Female","22"
"Male","23"
"","45"
"Sarki",""
"Female","177"
"Male","139"
"","316"
"Thakuri",""
"Female","19"
"Male","9"
"","28"
"Tharu",""
"Female","40"
"Male","43"
"","83"
