"Population by Caste Ethinicity","Number"
"Brahman - Hill",""
"Female","7424"
"Male","5121"
"","12545"
"Brahman - Tarai",""
"Female","125"
"Male","88"
"","213"
"Chhetri",""
"Female","1437"
"Male","930"
"","2367"
"Damai/Dholi",""
"Female","447"
"Male","319"
"","766"
"Gharti/Bhujel",""
"Female","19"
"Male","14"
"","33"
"Kami",""
"Female","1694"
"Male","1158"
"","2852"
"Kumal",""
"Female","1112"
"Male","894"
"","2006"
"Lohar",""
"Female","12"
"Male","11"
"","23"
"Magar",""
"Female","833"
"Male","562"
"","1395"
"Musalman",""
"Female","314"
"Male","229"
"","543"
"Newar",""
"Female","670"
"Male","445"
"","1115"
"Others",""
"Female","21"
"Male","11"
"","32"
"Sanyasi/Dasnami",""
"Female","56"
"Male","44"
"","100"
"Sarki",""
"Female","608"
"Male","413"
"","1021"
"Terai Others",""
"Female","10"
"Male","7"
"","17"
"Thakuri",""
"Female","182"
"Male","125"
"","307"
