"Population by Five Years Age Group","Number"
"0-4",""
"Female","2223"
"Male","2316"
"10-14",""
"Female","3223"
"Male","3262"
"15-19",""
"Female","2999"
"Male","2489"
"20-24",""
"Female","2560"
"Male","1546"
"25-29",""
"Female","2361"
"Male","1409"
"30-34",""
"Female","1829"
"Male","1357"
"35-39",""
"Female","1622"
"Male","1299"
"40-44",""
"Female","1394"
"Male","1174"
"45-49",""
"Female","1095"
"Male","1081"
"50-54",""
"Female","899"
"Male","841"
"55-59",""
"Female","789"
"Male","771"
"5-9",""
"Female","2709"
"Male","2833"
"60-64",""
"Female","787"
"Male","710"
"65-69",""
"Female","516"
"Male","575"
"70-74",""
"Female","303"
"Male","364"
"75+",""
"Female","272"
"Male","340"
