"Number of households by type of outer wall","Number"
"BambooWall","4712"
"Cement Bonded Bricks/Stone Wall","1817"
"Mud Bonded Bricks/Stone Wall","391"
"Not Stated about Wall","120"
"Other Type Wall","92"
"Unbaked Bricks","24"
"Wood/Planks","288"
"Total","7444"
