"Population by Five Years Age Group","Number"
"0-4",""
"Female","326"
"Male","319"
"10-14",""
"Female","458"
"Male","444"
"15-19",""
"Female","465"
"Male","401"
"20-24",""
"Female","326"
"Male","283"
"25-29",""
"Female","301"
"Male","228"
"30-34",""
"Female","220"
"Male","180"
"35-39",""
"Female","206"
"Male","194"
"40-44",""
"Female","177"
"Male","166"
"45-49",""
"Female","142"
"Male","150"
"50-54",""
"Female","158"
"Male","142"
"55-59",""
"Female","138"
"Male","130"
"5-9",""
"Female","410"
"Male","399"
"60-64",""
"Female","139"
"Male","146"
"65-69",""
"Female","61"
"Male","66"
"70-74",""
"Female","62"
"Male","85"
"75+",""
"Female","66"
"Male","77"
