"Population by Caste/Ethinicity","Number"
"#VALUE!",""
"Female","56"
"Male","41"
"Bahing",""
"Female","23"
"Male","20"
"Bhote",""
"Female","6"
"Male","7"
"Brahman - Hill",""
"Female","32"
"Male","44"
"Chhetri",""
"Female","77"
"Male","82"
"Damai/Dholi",""
"Female","65"
"Male","60"
"Gurung",""
"Female","933"
"Male","835"
"Kami",""
"Female","116"
"Male","109"
"Kulung",""
"Female","110"
"Male","87"
"Limbu",""
"Female","10"
"Male","14"
"Loharung",""
"Female","275"
"Male","282"
"Magar",""
"Female","9"
"Male","12"
"Mewahang Bala",""
"Female","46"
"Male","45"
"Nachhiring",""
"Female","10"
"Male","8"
"Others",""
"Female","26"
"Male","23"
"Rai",""
"Female","913"
"Male","861"
"Sherpa",""
"Female","361"
"Male","338"
"Tamang",""
"Female","48"
"Male","40"
"Thulung",""
"Female","134"
"Male","140"
"Yakkha",""
"Female","10"
"Male","15"
"Yamphu",""
"Female","395"
"Male","347"
