"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","5"
"Cow Dung","2957"
"Electricity Fuel","0"
"KeroseneFuel","151"
"LP Gas","59"
"Not Sated about Fuel","83"
"OthersFuel","4"
"Wood/FireWood","2106"
"Total","5365"
