"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","656"
"Cow Dung","18"
"Electricity","0"
"Kerosene","32"
"LP Gas","424"
"Not stated","35"
"Others","11"
"Wood/Firewood","10034"
"Total","11210"
