"Number of households by type of outer wall","Number"
"BambooWall","2948"
"Cement Bonded Bricks/Stone Wall","1363"
"Mud Bonded Bricks/Stone Wall","484"
"Not Stated about Wall","39"
"Other Type Wall","1287"
"Unbaked Bricks","5"
"Wood/Planks","104"
"Total","6230"
