"Population by Five Years Age Group","Number"
"0-4",""
"Female","1002"
"Male","1137"
"10-14",""
"Female","1622"
"Male","1528"
"15-19",""
"Female","1629"
"Male","1208"
"20-24",""
"Female","1267"
"Male","532"
"25-29",""
"Female","1000"
"Male","471"
"30-34",""
"Female","840"
"Male","395"
"35-39",""
"Female","821"
"Male","413"
"40-44",""
"Female","695"
"Male","347"
"45-49",""
"Female","626"
"Male","381"
"50-54",""
"Female","646"
"Male","459"
"55-59",""
"Female","565"
"Male","440"
"5-9",""
"Female","1360"
"Male","1443"
"60-64",""
"Female","544"
"Male","432"
"65-69",""
"Female","390"
"Male","381"
"70-74",""
"Female","242"
"Male","275"
"75+",""
"Female","396"
"Male","320"
