"Population by Mother tongue","Number"
"Bhojpuri",""
"Female","14"
"Male","88"
"","102"
"Chhantyal",""
"Female","142"
"Male","101"
"","243"
"Gurung",""
"Female","44"
"Male","37"
"","81"
"Hindi",""
"Female","9"
"Male","49"
"","58"
"Kham",""
"Female","14"
"Male","11"
"","25"
"Magar",""
"Female","536"
"Male","413"
"","949"
"Maithili",""
"Female","18"
"Male","56"
"","74"
"Nepali",""
"Female","17298"
"Male","13806"
"","31104"
"Newar",""
"Female","327"
"Male","312"
"","639"
"Not Reported",""
"Female","6"
"Male","5"
"","11"
"Others",""
"Female","9"
"Male","18"
"","27"
"Rai",""
"Female","3"
"Male","11"
"","14"
"Sanskrit",""
"Female","17"
"Male","25"
"","42"
"Sign Language",""
"Female","6"
"Male","8"
"","14"
"Tamang",""
"Female","7"
"Male","18"
"","25"
"Thakali",""
"Female","42"
"Male","37"
"","79"
"Urdu",""
"Female","4"
"Male","7"
"","11"
