"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","35"
"Male","31"
"Brahman - Hill",""
"Female","272"
"Male","271"
"Chhetri",""
"Female","2409"
"Male","2175"
"Damai/Dholi",""
"Female","119"
"Male","118"
"Gharti/Bhujel",""
"Female","64"
"Male","67"
"Kami",""
"Female","407"
"Male","395"
"Magar",""
"Female","140"
"Male","108"
"Majhi",""
"Female","39"
"Male","43"
"Newar",""
"Female","261"
"Male","256"
"Others",""
"Female","20"
"Male","36"
"Rai",""
"Female","3627"
"Male","3343"
"Sanyasi/Dasnami",""
"Female","22"
"Male","24"
"Sarki",""
"Female","241"
"Male","228"
"Tamang",""
"Female","313"
"Male","260"
"Undefined Others",""
"Female","14"
"Male","20"
"Yadav",""
"Female","41"
"Male","45"
