"Population by Five Years Age Group","Number"
"0-4",""
"Female","785"
"Male","789"
"10-14",""
"Female","1139"
"Male","1131"
"15-19",""
"Female","926"
"Male","917"
"20-24",""
"Female","612"
"Male","512"
"25-29",""
"Female","488"
"Male","343"
"30-34",""
"Female","401"
"Male","305"
"35-39",""
"Female","424"
"Male","323"
"40-44",""
"Female","448"
"Male","370"
"45-49",""
"Female","394"
"Male","342"
"50-54",""
"Female","330"
"Male","335"
"55-59",""
"Female","246"
"Male","284"
"5-9",""
"Female","1021"
"Male","1064"
"60-64",""
"Female","267"
"Male","228"
"65-69",""
"Female","185"
"Male","189"
"70-74",""
"Female","161"
"Male","159"
"75+",""
"Female","205"
"Male","196"
