"Number of households by type of outer wall","Number"
"BambooWall","253"
"Cement Bonded Bricks/Stone Wall","10997"
"Mud Bonded Bricks/Stone Wall","66442"
"Not stated","1018"
"Others","198"
"Unbaked Bricks","1325"
"Wood/Planks","418"
"Total","80651"
