"Agricultural land use area","Hectare"
"Area under arable land","30406.56"
"Area under meadows and pasture","1350.48"
"Area under permanent crops","3148.80"
"Area under Temporary crops","29081.79"
"Area under temporary fallow","968.38"
"Area under temporary meadows","356.39"
"Other land","1635.52"
"Ponds","44.86"
"Woodland and forest","3121.06"
