"Population by Single Year of Age","Number"
"0",""
"Female","2746"
"Male","2982"
"1",""
"Female","2424"
"Male","2627"
"10",""
"Female","4924"
"Male","4971"
"11",""
"Female","4458"
"Male","4564"
"12",""
"Female","5214"
"Male","5662"
"13",""
"Female","5173"
"Male","5162"
"14",""
"Female","5552"
"Male","5245"
"15",""
"Female","5452"
"Male","5036"
"16",""
"Female","5291"
"Male","4905"
"17",""
"Female","5051"
"Male","4392"
"18",""
"Female","5358"
"Male","4627"
"19",""
"Female","3591"
"Male","2977"
"2",""
"Female","2526"
"Male","2766"
"20",""
"Female","4687"
"Male","3721"
"21",""
"Female","3364"
"Male","2644"
"22",""
"Female","4477"
"Male","3464"
"23",""
"Female","3206"
"Male","2506"
"24",""
"Female","3378"
"Male","2793"
"25",""
"Female","4170"
"Male","3061"
"26",""
"Female","3125"
"Male","2569"
"27",""
"Female","2860"
"Male","2574"
"28",""
"Female","3528"
"Male","3158"
"29",""
"Female","1782"
"Male","1902"
"3",""
"Female","2681"
"Male","2797"
"30",""
"Female","4795"
"Male","3555"
"31",""
"Female","1677"
"Male","1511"
"32",""
"Female","2966"
"Male","2496"
"33",""
"Female","2018"
"Male","1698"
"34",""
"Female","1915"
"Male","1713"
"35",""
"Female","4678"
"Male","3486"
"36",""
"Female","2486"
"Male","2136"
"37",""
"Female","1790"
"Male","1639"
"38",""
"Female","2444"
"Male","2114"
"39",""
"Female","1488"
"Male","1359"
"4",""
"Female","3111"
"Male","3353"
"40",""
"Female","4784"
"Male","3937"
"41",""
"Female","1389"
"Male","1237"
"42",""
"Female","2257"
"Male","2275"
"43",""
"Female","1585"
"Male","1447"
"44",""
"Female","1407"
"Male","1256"
"45",""
"Female","3603"
"Male","3050"
"46",""
"Female","1653"
"Male","1494"
"47",""
"Female","1302"
"Male","1294"
"48",""
"Female","2008"
"Male","1978"
"49",""
"Female","1223"
"Male","1171"
"5",""
"Female","3627"
"Male","3708"
"50",""
"Female","3632"
"Male","3146"
"51",""
"Female","1158"
"Male","1178"
"52",""
"Female","1656"
"Male","1772"
"53",""
"Female","1139"
"Male","1119"
"54",""
"Female","1037"
"Male","1057"
"55",""
"Female","2051"
"Male","2022"
"56",""
"Female","1170"
"Male","1195"
"57",""
"Female","973"
"Male","1006"
"58",""
"Female","1160"
"Male","1182"
"59",""
"Female","820"
"Male","791"
"6",""
"Female","3601"
"Male","3580"
"60",""
"Female","2694"
"Male","2178"
"61",""
"Female","804"
"Male","836"
"62",""
"Female","1051"
"Male","1021"
"63",""
"Female","736"
"Male","742"
"64",""
"Female","727"
"Male","648"
"65",""
"Female","1846"
"Male","1386"
"66",""
"Female","774"
"Male","716"
"67",""
"Female","828"
"Male","846"
"68",""
"Female","974"
"Male","1083"
"69",""
"Female","385"
"Male","498"
"7",""
"Female","4096"
"Male","3886"
"70",""
"Female","1687"
"Male","1336"
"71",""
"Female","413"
"Male","443"
"72",""
"Female","692"
"Male","702"
"73",""
"Female","417"
"Male","491"
"74",""
"Female","373"
"Male","383"
"75",""
"Female","915"
"Male","728"
"76",""
"Female","369"
"Male","417"
"77",""
"Female","405"
"Male","395"
"78",""
"Female","605"
"Male","598"
"79",""
"Female","193"
"Male","234"
"8",""
"Female","4021"
"Male","4301"
"80",""
"Female","641"
"Male","444"
"81",""
"Female","165"
"Male","167"
"82",""
"Female","214"
"Male","224"
"83",""
"Female","204"
"Male","209"
"84",""
"Female","218"
"Male","208"
"85",""
"Female","887"
"Male","762"
"9",""
"Female","4046"
"Male","3994"
