"Population by Single Year of Age","Number"
"0",""
"Female","199"
"Male","207"
"1",""
"Female","207"
"Male","181"
"10",""
"Female","275"
"Male","269"
"11",""
"Female","256"
"Male","271"
"12",""
"Female","303"
"Male","272"
"13",""
"Female","250"
"Male","251"
"14",""
"Female","260"
"Male","251"
"15",""
"Female","281"
"Male","243"
"16",""
"Female","284"
"Male","274"
"17",""
"Female","282"
"Male","263"
"18",""
"Female","322"
"Male","273"
"19",""
"Female","231"
"Male","182"
"2",""
"Female","148"
"Male","162"
"20",""
"Female","231"
"Male","182"
"21",""
"Female","190"
"Male","136"
"22",""
"Female","280"
"Male","146"
"23",""
"Female","207"
"Male","139"
"24",""
"Female","199"
"Male","101"
"25",""
"Female","234"
"Male","116"
"26",""
"Female","152"
"Male","120"
"27",""
"Female","185"
"Male","113"
"28",""
"Female","191"
"Male","124"
"29",""
"Female","119"
"Male","80"
"3",""
"Female","221"
"Male","223"
"30",""
"Female","223"
"Male","160"
"31",""
"Female","106"
"Male","87"
"32",""
"Female","137"
"Male","132"
"33",""
"Female","121"
"Male","82"
"34",""
"Female","106"
"Male","90"
"35",""
"Female","172"
"Male","113"
"36",""
"Female","115"
"Male","98"
"37",""
"Female","111"
"Male","80"
"38",""
"Female","126"
"Male","128"
"39",""
"Female","78"
"Male","75"
"4",""
"Female","225"
"Male","233"
"40",""
"Female","184"
"Male","138"
"41",""
"Female","92"
"Male","77"
"42",""
"Female","126"
"Male","104"
"43",""
"Female","132"
"Male","70"
"44",""
"Female","80"
"Male","76"
"45",""
"Female","156"
"Male","122"
"46",""
"Female","102"
"Male","89"
"47",""
"Female","85"
"Male","93"
"48",""
"Female","109"
"Male","94"
"49",""
"Female","86"
"Male","80"
"5",""
"Female","238"
"Male","273"
"50",""
"Female","161"
"Male","167"
"51",""
"Female","80"
"Male","89"
"52",""
"Female","122"
"Male","112"
"53",""
"Female","101"
"Male","81"
"54",""
"Female","72"
"Male","89"
"55",""
"Female","104"
"Male","105"
"56",""
"Female","79"
"Male","80"
"57",""
"Female","72"
"Male","58"
"58",""
"Female","76"
"Male","65"
"59",""
"Female","63"
"Male","78"
"6",""
"Female","273"
"Male","255"
"60",""
"Female","110"
"Male","114"
"61",""
"Female","80"
"Male","53"
"62",""
"Female","61"
"Male","68"
"63",""
"Female","54"
"Male","64"
"64",""
"Female","54"
"Male","62"
"65",""
"Female","70"
"Male","56"
"66",""
"Female","38"
"Male","47"
"67",""
"Female","57"
"Male","46"
"68",""
"Female","55"
"Male","49"
"69",""
"Female","34"
"Male","35"
"7",""
"Female","265"
"Male","284"
"70",""
"Female","78"
"Male","49"
"71",""
"Female","18"
"Male","38"
"72",""
"Female","34"
"Male","34"
"73",""
"Female","39"
"Male","31"
"74",""
"Female","22"
"Male","24"
"75",""
"Female","58"
"Male","37"
"76",""
"Female","20"
"Male","28"
"77",""
"Female","34"
"Male","30"
"78",""
"Female","35"
"Male","36"
"79",""
"Female","14"
"Male","14"
"8",""
"Female","302"
"Male","289"
"80",""
"Female","34"
"Male","23"
"81",""
"Female","19"
"Male","11"
"82",""
"Female","20"
"Male","15"
"83",""
"Female","19"
"Male","17"
"84",""
"Female","20"
"Male","11"
"85",""
"Female","75"
"Male","45"
"9",""
"Female","276"
"Male","270"
