"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","2327"
"Male","2023"
"Chhetri",""
"Female","1265"
"Male","1082"
"Damai/Dholi",""
"Female","431"
"Male","363"
"Gharti/Bhujel",""
"Female","159"
"Male","150"
"Gurung",""
"Female","373"
"Male","335"
"Kami",""
"Female","775"
"Male","655"
"Khawas",""
"Female","16"
"Male","16"
"Limbu",""
"Female","3611"
"Male","3195"
"Magar",""
"Female","355"
"Male","275"
"Majhi",""
"Female","95"
"Male","82"
"Newar",""
"Female","251"
"Male","256"
"Others",""
"Female","21"
"Male","21"
"Rai",""
"Female","215"
"Male","217"
"Sanyasi/Dasnami",""
"Female","43"
"Male","38"
"Sarki",""
"Female","207"
"Male","181"
"Sherpa",""
"Female","105"
"Male","98"
"Tamang",""
"Female","1313"
"Male","1102"
"Yakkha",""
"Female","53"
"Male","43"
