"Number of households by type of outer wall","Number"
"BambooWall","183"
"Cement Bonded Bricks/Stone Wall","359"
"Mud Bonded Bricks/Stone Wall","3688"
"Not stated","23"
"Others","49"
"Unbaked Bricks","3"
"Wood/Planks","3233"
"Total","7538"
