"Number of households by type of outer wall","Number"
"BambooWall","4847"
"Cement Bonded Bricks/Stone Wall","1128"
"Mud Bonded Bricks/Stone Wall","105"
"Not stated","70"
"Others","1"
"Unbaked Bricks","5"
"Wood/Planks","185"
"Total","6341"
