"Population by Five Years Age Group","Number"
"0-4",""
"Female","2447"
"Male","2489"
"10-14",""
"Female","2546"
"Male","2712"
"15-19",""
"Female","1370"
"Male","1831"
"20-24",""
"Female","1456"
"Male","1356"
"25-29",""
"Female","1534"
"Male","1352"
"30-34",""
"Female","1312"
"Male","1189"
"35-39",""
"Female","1027"
"Male","1046"
"40-44",""
"Female","944"
"Male","930"
"45-49",""
"Female","758"
"Male","756"
"50-54",""
"Female","682"
"Male","733"
"55-59",""
"Female","591"
"Male","661"
"5-9",""
"Female","2963"
"Male","3019"
"60-64",""
"Female","540"
"Male","551"
"65-69",""
"Female","439"
"Male","478"
"70-74",""
"Female","267"
"Male","286"
"75+",""
"Female","234"
"Male","248"
