"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","448"
"Cow Dung","26"
"Electricity Fuel","0"
"KeroseneFuel","53"
"LP Gas","47"
"Not Sated about Fuel","49"
"OthersFuel","4"
"Wood/FireWood","8090"
"Total","8717"
