"Population by Five Years Age Group","Number"
"0-4",""
"Female","1178"
"Male","1265"
"10-14",""
"Female","1752"
"Male","1821"
"15-19",""
"Female","1644"
"Male","1543"
"20-24",""
"Female","1409"
"Male","953"
"25-29",""
"Female","1257"
"Male","758"
"30-34",""
"Female","994"
"Male","731"
"35-39",""
"Female","834"
"Male","637"
"40-44",""
"Female","726"
"Male","632"
"45-49",""
"Female","610"
"Male","593"
"50-54",""
"Female","500"
"Male","546"
"55-59",""
"Female","399"
"Male","381"
"5-9",""
"Female","1657"
"Male","1751"
"60-64",""
"Female","380"
"Male","345"
"65-69",""
"Female","238"
"Male","213"
"70-74",""
"Female","161"
"Male","202"
"75+",""
"Female","275"
"Male","241"
