"Population by Mother tongue","Number"
"Bantawa",""
"Female","9"
"Male","16"
"Bhojpuri",""
"Female","5"
"Male","8"
"Gurung",""
"Female","1085"
"Male","857"
"Limbu",""
"Female","3932"
"Male","3389"
"Magar",""
"Female","109"
"Male","120"
"Maithili",""
"Female","34"
"Male","64"
"Nepali",""
"Female","6370"
"Male","5827"
"Newar",""
"Female","115"
"Male","119"
"Not Reported",""
"Female","112"
"Male","108"
"Others",""
"Female","142"
"Male","155"
"Rai",""
"Female","327"
"Male","298"
"Sherpa",""
"Female","871"
"Male","722"
"Sign Language",""
"Female","20"
"Male","18"
"Sunuwar",""
"Female","220"
"Male","200"
"Tamang",""
"Female","540"
"Male","498"
"Tharu",""
"Female","24"
"Male","38"
"Thulung",""
"Female","6"
"Male","5"
"Waling/Walung",""
"Female","20"
"Male","23"
