"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","48"
"Cow Dung","0"
"Electricity","0"
"Kerosene","33"
"LP Gas","836"
"Not stated","19"
"Others","6"
"Wood/Firewood","5044"
"Total","5986"
