"Number of households by type of outer wall","Number"
"BambooWall","6124"
"Cement Bonded Bricks/Stone Wall","2395"
"Mud Bonded Bricks/Stone Wall","293"
"Not Stated about Wall","133"
"Other Type Wall","20"
"Unbaked Bricks","17"
"Wood/Planks","409"
"Total","9391"
