"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","13"
"Cow Dung","5597"
"Electricity Fuel","2"
"KeroseneFuel","75"
"LP Gas","90"
"Not Sated about Fuel","114"
"OthersFuel","93"
"Wood/FireWood","3407"
"Total","9391"
