"Population by Five Years Age Group","Number"
"0-4",""
"Female","651"
"Male","713"
"10-14",""
"Female","1234"
"Male","1205"
"15-19",""
"Female","1076"
"Male","1091"
"20-24",""
"Female","676"
"Male","678"
"25-29",""
"Female","620"
"Male","547"
"30-34",""
"Female","517"
"Male","453"
"35-39",""
"Female","537"
"Male","470"
"40-44",""
"Female","511"
"Male","508"
"45-49",""
"Female","431"
"Male","479"
"50-54",""
"Female","408"
"Male","435"
"55-59",""
"Female","284"
"Male","342"
"5-9",""
"Female","941"
"Male","955"
"60-64",""
"Female","312"
"Male","350"
"65-69",""
"Female","207"
"Male","228"
"70-74",""
"Female","225"
"Male","213"
"75+",""
"Female","325"
"Male","320"
