"Population by Five Years Age Group","Number"
"0-4",""
"Female","850"
"Male","859"
"10-14",""
"Female","1526"
"Male","1429"
"15-19",""
"Female","1357"
"Male","1106"
"20-24",""
"Female","849"
"Male","450"
"25-29",""
"Female","673"
"Male","406"
"30-34",""
"Female","647"
"Male","356"
"35-39",""
"Female","584"
"Male","430"
"40-44",""
"Female","669"
"Male","472"
"45-49",""
"Female","556"
"Male","428"
"50-54",""
"Female","551"
"Male","488"
"55-59",""
"Female","417"
"Male","383"
"5-9",""
"Female","1194"
"Male","1080"
"60-64",""
"Female","376"
"Male","382"
"65-69",""
"Female","305"
"Male","297"
"70-74",""
"Female","257"
"Male","208"
"75+",""
"Female","385"
"Male","317"
