"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","2001"
"Male","1421"
"Chhetri",""
"Female","1603"
"Male","1087"
"Damai/Dholi",""
"Female","168"
"Male","132"
"Gaine",""
"Female","11"
"Male","11"
"Gharti/Bhujel",""
"Female","19"
"Male","20"
"Gurung",""
"Female","11"
"Male","9"
"Kami",""
"Female","1170"
"Male","860"
"Kumal",""
"Female","216"
"Male","213"
"Magar",""
"Female","4551"
"Male","3440"
"Musalman",""
"Female","16"
"Male","18"
"Newar",""
"Female","154"
"Male","120"
"Others",""
"Female","27"
"Male","20"
"Sarki",""
"Female","831"
"Male","619"
"Sunuwar",""
"Female","12"
"Male","10"
