"Population by Five Years Age Group","Number"
"0-4",""
"Female","827"
"Male","857"
"10-14",""
"Female","1295"
"Male","1277"
"15-19",""
"Female","1230"
"Male","842"
"20-24",""
"Female","989"
"Male","400"
"25-29",""
"Female","803"
"Male","334"
"30-34",""
"Female","646"
"Male","336"
"35-39",""
"Female","624"
"Male","324"
"40-44",""
"Female","616"
"Male","315"
"45-49",""
"Female","522"
"Male","346"
"50-54",""
"Female","492"
"Male","382"
"55-59",""
"Female","398"
"Male","341"
"5-9",""
"Female","1081"
"Male","1072"
"60-64",""
"Female","419"
"Male","331"
"65-69",""
"Female","321"
"Male","260"
"70-74",""
"Female","241"
"Male","254"
"75+",""
"Female","286"
"Male","309"
