"Population by Five Years Age Group","Number"
"0-4",""
"Female","920"
"Male","1020"
"10-14",""
"Female","873"
"Male","887"
"15-19",""
"Female","651"
"Male","611"
"20-24",""
"Female","488"
"Male","458"
"25-29",""
"Female","422"
"Male","366"
"30-34",""
"Female","381"
"Male","342"
"35-39",""
"Female","362"
"Male","324"
"40-44",""
"Female","292"
"Male","297"
"45-49",""
"Female","253"
"Male","271"
"50-54",""
"Female","177"
"Male","198"
"55-59",""
"Female","147"
"Male","172"
"5-9",""
"Female","1035"
"Male","1040"
"60-64",""
"Female","235"
"Male","191"
"65-69",""
"Female","127"
"Male","92"
"70-74",""
"Female","58"
"Male","55"
"75+",""
"Female","47"
"Male","54"
