"Children, Adolescent, Youth, Elderly and Working Population","Number"
"Adolescent (10-19)",""
"Female","30451"
"Male","30451"
"Children (0-4)",""
"Female","16361"
"Male","16361"
"Elderely (60+)",""
"Female","9915"
"Male","9915"
"Working population (15-59)",""
"Female","55890"
"Male","55890"
"Youth (15-24)",""
"Female","20412"
"Male","20412"
