"Agricultural land use area","Hectare"
"Area under arable land","13735.06"
"Area under meadows and pasture","220.54"
"Area under permanent crops","6353.03"
"Area under Temporary crops","13103.09"
"Area under temporary fallow","366.03"
"Area under temporary meadows","265.94"
"Other land","883.84"
"Ponds","0.00"
"Woodland and forest","134.18"
