"Population by Five Years Age Group","Number"
"0-4",""
"Female","15622"
"Male","16361"
"10-14",""
"Female","17826"
"Male","17750"
"15-19",""
"Female","14392"
"Male","12701"
"20-24",""
"Female","12184"
"Male","7711"
"25-29",""
"Female","9559"
"Male","6350"
"30-34",""
"Female","8034"
"Male","5863"
"35-39",""
"Female","7232"
"Male","5624"
"40-44",""
"Female","6193"
"Male","5104"
"45-49",""
"Female","5158"
"Male","4616"
"50-54",""
"Female","4400"
"Male","4293"
"55-59",""
"Female","3703"
"Male","3628"
"5-9",""
"Female","17112"
"Male","17491"
"60-64",""
"Female","4199"
"Male","3337"
"65-69",""
"Female","3104"
"Male","2538"
"70-74",""
"Female","2263"
"Male","1978"
"75+",""
"Female","2510"
"Male","2062"
