"Number of households by type of outer wall","Number"
"BambooWall","1224"
"Cement Bonded Bricks/Stone Wall","10075"
"Mud Bonded Bricks/Stone Wall","11095"
"Not Stated about Wall","280"
"Other Type Wall","193"
"Unbaked Bricks","569"
"Wood/Planks","274"
"Total","23710"
