"Population by Religion","Number"
"Bahai","0"
"Bon","0"
"Buddism","3522"
"Christianity","5464"
"Hindu","94365"
"Islam","1660"
"Jainism","0"
"Kirat","9"
"Prakriti","36"
"Sikhism","0"
"Undefined","51"
"Total","105107"
