"Number of Households by Type of Roof","Number"
"Galvanized Iron Plate","7853"
"Mud Roof","122"
"Not Sated Roof","324"
"Other Type of Roof","111"
"RCC Roof","9638"
"Thatch/Straw Roof","4004"
"Tile/Slate Roof","1607"
"Wood/Planks Roof","51"
"Total","23710"
