"Industries Employment","Number"
"Accommodation,  food",""
"Female","1433"
"Male","1322"
"Administrative, support service",""
"Female","2"
"Male","5"
"Agriculture, forestry and  fishing",""
"Female","1072"
"Male","1607"
"Arts, entertainment, recreation",""
"Female","36"
"Male","52"
"Construction",""
"Female","23"
"Male","111"
"Education",""
"Female","2099"
"Male","2810"
"Electricity, gas and water",""
"Female","27"
"Male","366"
"Financial intermediation and insurance",""
"Female","1128"
"Male","715"
"Health, social work",""
"Female","2925"
"Male","611"
"Information and communication",""
"Female","22"
"Male","75"
"Manufacturing",""
"Female","647"
"Male","1882"
"Other service activities",""
"Female","1829"
"Male","2484"
"Professional, scientific, techniqual activity",""
"Female","13"
"Male","55"
"Real estate, renting and business activity",""
"Female","0"
"Male","0"
"Transportation,  storage",""
"Female","52"
"Male","148"
"Water supply, wet management",""
"Female","137"
"Male","348"
"Wholesale, retail trade",""
"Female","3755"
"Male","4409"
