"Industries Types","Number"
"Accommodation and food","1174"
"Administrative and support service activity","6"
"Agriculture, forestry and fishing","387"
"Art, entertainment and recreation","22"
"Construction","34"
"Education","574"
"Electricty gas and water","16"
"Financial intermediation and insurance","243"
"Health and social work","508"
"Information and communications","17"
"Manufacturing","1246"
"Mining and quarrying","27"
"Other service activities","630"
"Professional,scientific and techniqual activity","26"
"Real state, renting and business activities","0"
"Transport and storage","51"
"Water supply, wet management","68"
"Wholesale and retail trade","4047"
"Total","9076"
