"Population by Five Years Age Group","Number"
"0-4",""
"Female","1247"
"Male","1220"
"10-14",""
"Female","1139"
"Male","1193"
"15-19",""
"Female","809"
"Male","704"
"20-24",""
"Female","743"
"Male","473"
"25-29",""
"Female","579"
"Male","392"
"30-34",""
"Female","453"
"Male","378"
"35-39",""
"Female","375"
"Male","388"
"40-44",""
"Female","361"
"Male","335"
"45-49",""
"Female","327"
"Male","358"
"50-54",""
"Female","223"
"Male","256"
"55-59",""
"Female","202"
"Male","244"
"5-9",""
"Female","1398"
"Male","1236"
"60-64",""
"Female","134"
"Male","164"
"65-69",""
"Female","110"
"Male","118"
"70-74",""
"Female","80"
"Male","70"
"75+",""
"Female","70"
"Male","95"
