"Population by Five Years Age Group","Number"
"0-4",""
"Female","1545"
"Male","1669"
"10-14",""
"Female","2001"
"Male","1907"
"15-19",""
"Female","1557"
"Male","1269"
"20-24",""
"Female","1345"
"Male","811"
"25-29",""
"Female","1085"
"Male","904"
"30-34",""
"Female","932"
"Male","609"
"35-39",""
"Female","754"
"Male","537"
"40-44",""
"Female","676"
"Male","565"
"45-49",""
"Female","510"
"Male","437"
"50-54",""
"Female","473"
"Male","450"
"55-59",""
"Female","390"
"Male","372"
"5-9",""
"Female","1811"
"Male","1847"
"60-64",""
"Female","376"
"Male","338"
"65-69",""
"Female","242"
"Male","272"
"70-74",""
"Female","176"
"Male","158"
"75+",""
"Female","132"
"Male","169"
