"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","211"
"Male","190"
"Brahman - Hill",""
"Female","238"
"Male","239"
"Chhetri",""
"Female","5665"
"Male","4805"
"Damai/Dholi",""
"Female","768"
"Male","643"
"Gaine",""
"Female","35"
"Male","29"
"Gurung",""
"Female","9"
"Male","7"
"Kami",""
"Female","2898"
"Male","2416"
"Lohar",""
"Female","35"
"Male","29"
"Magar",""
"Female","1224"
"Male","1025"
"Others",""
"Female","19"
"Male","25"
"Sanyasi/Dasnami",""
"Female","438"
"Male","405"
"Sarki",""
"Female","182"
"Male","136"
"Terai Others",""
"Female","13"
"Male","6"
"Thakuri",""
"Female","2267"
"Male","1888"
