"Population by Single Year of Age","Number"
"0",""
"Female","258"
"Male","292"
"1",""
"Female","269"
"Male","277"
"10",""
"Female","402"
"Male","408"
"11",""
"Female","365"
"Male","365"
"12",""
"Female","430"
"Male","424"
"13",""
"Female","431"
"Male","367"
"14",""
"Female","373"
"Male","343"
"15",""
"Female","348"
"Male","332"
"16",""
"Female","320"
"Male","269"
"17",""
"Female","319"
"Male","242"
"18",""
"Female","328"
"Male","241"
"19",""
"Female","242"
"Male","185"
"2",""
"Female","296"
"Male","323"
"20",""
"Female","258"
"Male","164"
"21",""
"Female","283"
"Male","192"
"22",""
"Female","338"
"Male","181"
"23",""
"Female","228"
"Male","144"
"24",""
"Female","238"
"Male","130"
"25",""
"Female","291"
"Male","233"
"26",""
"Female","214"
"Male","224"
"27",""
"Female","197"
"Male","207"
"28",""
"Female","251"
"Male","143"
"29",""
"Female","132"
"Male","97"
"3",""
"Female","347"
"Male","391"
"30",""
"Female","339"
"Male","183"
"31",""
"Female","112"
"Male","75"
"32",""
"Female","228"
"Male","174"
"33",""
"Female","117"
"Male","81"
"34",""
"Female","136"
"Male","96"
"35",""
"Female","299"
"Male","185"
"36",""
"Female","113"
"Male","96"
"37",""
"Female","92"
"Male","83"
"38",""
"Female","148"
"Male","101"
"39",""
"Female","102"
"Male","72"
"4",""
"Female","375"
"Male","386"
"40",""
"Female","310"
"Male","201"
"41",""
"Female","93"
"Male","80"
"42",""
"Female","114"
"Male","130"
"43",""
"Female","83"
"Male","83"
"44",""
"Female","76"
"Male","71"
"45",""
"Female","179"
"Male","151"
"46",""
"Female","102"
"Male","71"
"47",""
"Female","70"
"Male","62"
"48",""
"Female","101"
"Male","101"
"49",""
"Female","58"
"Male","52"
"5",""
"Female","370"
"Male","367"
"50",""
"Female","213"
"Male","170"
"51",""
"Female","60"
"Male","59"
"52",""
"Female","85"
"Male","116"
"53",""
"Female","60"
"Male","53"
"54",""
"Female","55"
"Male","52"
"55",""
"Female","130"
"Male","114"
"56",""
"Female","68"
"Male","53"
"57",""
"Female","51"
"Male","52"
"58",""
"Female","83"
"Male","85"
"59",""
"Female","58"
"Male","68"
"6",""
"Female","355"
"Male","368"
"60",""
"Female","160"
"Male","129"
"61",""
"Female","54"
"Male","54"
"62",""
"Female","76"
"Male","70"
"63",""
"Female","41"
"Male","37"
"64",""
"Female","45"
"Male","48"
"65",""
"Female","103"
"Male","94"
"66",""
"Female","39"
"Male","30"
"67",""
"Female","32"
"Male","43"
"68",""
"Female","54"
"Male","71"
"69",""
"Female","14"
"Male","34"
"7",""
"Female","368"
"Male","357"
"70",""
"Female","93"
"Male","68"
"71",""
"Female","24"
"Male","24"
"72",""
"Female","25"
"Male","30"
"73",""
"Female","23"
"Male","20"
"74",""
"Female","11"
"Male","16"
"75",""
"Female","37"
"Male","49"
"76",""
"Female","2"
"Male","9"
"77",""
"Female","8"
"Male","18"
"78",""
"Female","14"
"Male","21"
"79",""
"Female","10"
"Male","10"
"8",""
"Female","362"
"Male","396"
"80",""
"Female","25"
"Male","28"
"81",""
"Female","3"
"Male","1"
"82",""
"Female","6"
"Male","13"
"83",""
"Female","7"
"Male","4"
"84",""
"Female","5"
"Male","6"
"85",""
"Female","15"
"Male","10"
"9",""
"Female","356"
"Male","359"
