"Population by Five Years Age Group","Number"
"0-4",""
"Female","1670"
"Male","1881"
"10-14",""
"Female","2602"
"Male","2607"
"15-19",""
"Female","2416"
"Male","2248"
"20-24",""
"Female","2163"
"Male","1361"
"25-29",""
"Female","1901"
"Male","1174"
"30-34",""
"Female","1460"
"Male","1044"
"35-39",""
"Female","1407"
"Male","905"
"40-44",""
"Female","1130"
"Male","846"
"45-49",""
"Female","1026"
"Male","730"
"50-54",""
"Female","909"
"Male","768"
"55-59",""
"Female","712"
"Male","681"
"5-9",""
"Female","2171"
"Male","2302"
"60-64",""
"Female","824"
"Male","563"
"65-69",""
"Female","586"
"Male","505"
"70-74",""
"Female","402"
"Male","387"
"75+",""
"Female","525"
"Male","468"
