"Industries Employment","Number"
"Accommodation,  food",""
"Female","378"
"Male","673"
"Administrative, support service",""
"Female","0"
"Male","6"
"Agriculture, forestry and  fishing",""
"Female","78"
"Male","175"
"Arts, entertainment, recreation",""
"Female","4"
"Male","39"
"Construction",""
"Female","134"
"Male","167"
"Education",""
"Female","1005"
"Male","2215"
"Electricity, gas and water",""
"Female","7"
"Male","68"
"Financial intermediation and insurance",""
"Female","37"
"Male","112"
"Health, social work",""
"Female","310"
"Male","362"
"Information and communication",""
"Female","17"
"Male","86"
"Manufacturing",""
"Female","176"
"Male","396"
"Other service activities",""
"Female","68"
"Male","206"
"Professional, scientific, techniqual activity",""
"Female","6"
"Male","37"
"Real estate, renting and business activity",""
"Female","0"
"Male","0"
"Transportation,  storage",""
"Female","14"
"Male","62"
"Water supply, wet management",""
"Female","1"
"Male","22"
"Wholesale, retail trade",""
"Female","1020"
"Male","1945"
