"Industries Types","Number"
"Accommodation and food","504"
"Administrative and support service activity","3"
"Agriculture, forestry and fishing","143"
"Art, entertainment and recreation","6"
"Construction","69"
"Education","415"
"Electricty gas and water","11"
"Financial intermediation and insurance","36"
"Health and social work","137"
"Information and communications","14"
"Manufacturing","324"
"Mining and quarrying","0"
"Other service activities","98"
"Professional,scientific and techniqual activity","32"
"Real state, renting and business activities","0"
"Transport and storage","15"
"Water supply, wet management","4"
"Wholesale and retail trade","1856"
"Total","3667"
