"Population by Five Years Age Group","Number"
"0-4",""
"Female","870"
"Male","811"
"10-14",""
"Female","1339"
"Male","1362"
"15-19",""
"Female","1057"
"Male","987"
"20-24",""
"Female","665"
"Male","520"
"25-29",""
"Female","630"
"Male","503"
"30-34",""
"Female","529"
"Male","459"
"35-39",""
"Female","514"
"Male","431"
"40-44",""
"Female","545"
"Male","451"
"45-49",""
"Female","426"
"Male","411"
"50-54",""
"Female","417"
"Male","434"
"55-59",""
"Female","349"
"Male","363"
"5-9",""
"Female","1160"
"Male","1173"
"60-64",""
"Female","359"
"Male","351"
"65-69",""
"Female","273"
"Male","254"
"70-74",""
"Female","222"
"Male","207"
"75+",""
"Female","277"
"Male","243"
