"Number of households by type of outer wall","Number"
"BambooWall","8838"
"Cement Bonded Bricks/Stone Wall","2528"
"Mud Bonded Bricks/Stone Wall","266"
"Not Stated about Wall","76"
"Other Type Wall","40"
"Unbaked Bricks","10"
"Wood/Planks","1355"
"Total","13113"
