"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","351"
"Cow Dung","547"
"Electricity Fuel","2"
"KeroseneFuel","236"
"LP Gas","911"
"Not Sated about Fuel","47"
"OthersFuel","8"
"Wood/FireWood","11011"
"Total","13113"
